Game_ID,Name,User_Rating
4383,Shooters,1
3689,Shooters,8
266,Shooters,10
3342,Shooters,4
9086,Shooters,7
7761,Shooters,5
4726,Shooters,1
286,Shooters,5
2983,Shooters,2
6895,Shooters,5
2272,Shooters,10
5444,RPG,4
7025,RPG,2
4368,RPG,10
6935,RPG,6
6311,RPG,7
7751,RPG,2
4899,RPG,4
6400,RPG,5
2611,RPG,9
2684,RPG,3
539,RPG,3
4185,RPG,6
5160,RPG,4
544,RPG,2
4938,RPG,7
5752,RPG,5
7780,RPG,3
5414,RPG,8
9039,RPG,1
3424,RPG,4
310,RPG,2
4180,RPG,4
7626,RPG,5
1737,RPG,8
2000,RPG,3
6728,RPG,4
9839,RPG,3
4382,RPG,3
